Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
0.5031847133757954,0.024271844660194386,0.5031847133757954,0.7330097087378642,0.4777070063694264,0.9951456310679612
1.4968152866242033,0.004854368932039055,1.4968152866242033,0.970873786407767,1.547770700636942,0.8980582524271845
4.541401273885288,-0.014563106796116276,2.515923566878981,0.9077669902912622,2.515923566878981,0.79126213592233
2.5414012738853495,-0.009708737864077666,3.5859872611464967,0.7718446601941746,3.5605095541401264,0.529126213592233
3.5605095541401273,-0.009708737864077666,4.554140127388535,0.5097087378640777,4.554140127388535,0.33980582524271874
5.547770700636942,-0.009708737864077666,5.547770700636942,0.15533980582524265,5.547770700636942,0.06310679611650505
6.54140127388535,0.004854368932039055,6.566878980891719,0.12135922330097104,6.592356687898089,-0.009708737864077666
7.585987261146496,0.04854368932038833,7.585987261146496,0.17961165048543704,7.560509554140127,0.058252427184465994
8.503184713375795,0.470873786407767,8.528662420382165,0.17961165048543704,8.554140127388534,0.4223300970873787
9.62420382165605,0.1747572815533982,9.62420382165605,0.19902912621359214,9.62420382165605,0.1893203883495147
10.566878980891719,0.08737864077669899,10.54140127388535,0.10194174757281571,10.617834394904458,0.08737864077669899
11.535031847133759,0.07524271844660246,11.560509554140127,0.11650485436893243,11.560509554140127,0.08252427184466038
12.579617834394902,0.19660194174756862,12.579617834394902,0.1456310679611652,12.554140127388534,0
13.573248407643314,0.1674757281553363,13.598726114649681,0.17961165048543704,13.598726114649681,0
14.60509554140127,0.22330097087378653,14.592356687898087,0.11650485436893243,14.617834394904458,0.1601941747572817
15.636942675159235,0.33009708737864085,15.611464968152868,0.05339805825242738,15.611464968152868,0.19902912621359214
16.579617834394902,0.6407766990291264,16.579617834394902,0.009708737864077666,16.605095541401276,0.05339805825242738
17.624203821656046,1.266990291262136,17.59872611464968,0.01941747572815533,17.573248407643312,0.20873786407767003
18.59235668789809,1.092233009708738,18.59235668789809,0.024271844660194386,18.59235668789809,0.28640776699029136
19.611464968152866,0.558252427184466,19.5859872611465,0.01941747572815533,19.611464968152866,0.038834951456311106
20.630573248407643,0.3106796116504855,20.630573248407643,0.038834951456311106,20.65605095541401,-0.004854368932038611
21.59872611464968,0.3106796116504855,21.624203821656053,0.12621359223300965,21.624203821656053,0
22.59235668789809,0.26213592233009697,22.566878980891723,0.45145631067961167,22.566878980891723,1.6893203883495145
23.662420382165607,0.11650485436893243,23.611464968152866,0.5825242718446604,23.662420382165607,1.1893203883495147
,,23.611464968152866,0.5825242718446604,,
